episode,return,touches,avg_dist,avg_align,pct_forward,time_to_first_touch,terminated
1,93.75943897482853,1,5587.3382366895985,-0.023061026774110684,1.0,263,False
2,65.43036973816271,1,4124.584793192078,-0.07336862166948196,1.0,316,False
3,71.9523705844748,1,4212.47166317749,0.01474953426013235,1.0,3544,False
4,71.10783640055261,1,5930.036726465072,-0.057615962490890134,1.0,262,True
5,-19.459957389176246,0,4341.737214558919,-0.08869729597395538,1.0,-1,False
6,90.30026293265223,1,4428.143035766601,-0.059965883705113084,1.0,1802,False
7,-21.59352633455624,0,4728.478344794379,-0.10479531391313585,1.0,-1,False
8,75.56960834946004,1,4265.552094809566,-0.011783047351505236,1.0,1185,False
9,8.644435190779733,0,4436.678100653754,-0.10635340722822649,1.0,-1,False
10,19.35294789026153,0,4310.513417019314,-0.05924150994461444,1.0,-1,False
11,-2.0402971770356024,0,4358.099273020426,-0.09910577298555936,1.0,-1,False
12,72.75263226421647,1,4003.680792173983,-0.02331312094067392,1.0,265,False
13,59.60327928288774,1,4469.081646928759,-0.020152054536372036,1.0,263,True
14,7.716475026425748,0,4224.767843983968,-0.019129489914812437,1.0,-1,False
15,2.0134597053494896,0,4479.638480818006,0.0746668449073008,1.0,-1,False
16,-9.715078437591124,0,4038.398252614339,-0.076992103341941,1.0,-1,False
17,-18.22898063188491,0,4323.916768442789,-0.16607828438291714,1.0,-1,False
18,3.834009855526129,0,4224.419670274523,-0.06545594153867569,1.0,-1,False
19,107.17025960947738,1,5332.944700015259,0.03044645010700915,1.0,1788,False
20,18.319332319279813,0,4300.102563340929,0.05553840677983114,1.0,-1,False
21,2.612645187133761,0,4142.645921664768,-0.05329969322962117,1.0,-1,False
22,79.69691619113392,1,3155.0391822554693,0.1347837955829908,1.0,1782,True
23,114.90573791704685,1,4106.411582996152,0.06817316086401085,1.0,261,False
24,36.2027650769346,0,4121.610155012343,0.035260853472589386,1.0,-1,False
25,-0.5801158528367781,0,4280.826557040745,-0.022764909760703125,1.0,-1,False
26,5.690111717109824,0,4570.372264879014,-0.07194792572622342,1.0,-1,False
27,0.3435759710254044,0,4504.651762559679,-0.031775564018470405,1.0,-1,False
28,72.48002378245302,1,5084.405567970829,-0.03581068548352788,1.0,262,False
29,41.47253275541399,0,4011.5159568362765,0.005628623602549649,1.0,-1,False
30,95.74039523805088,1,3609.3594410827804,0.048526777521091594,1.0,2567,True
31,7.188916652124856,0,4288.106167466905,0.08600103718905303,1.0,-1,False
32,6.388489580180152,0,4433.525176917182,0.003512176162330434,1.0,-1,False
33,108.88150059906745,1,4341.0573065811,0.044744924632716204,1.0,1287,False
34,22.07844417514407,0,3861.106758321126,0.017402433649598,1.0,-1,False
35,88.16137974335557,1,4387.334028329467,-0.001851262644212693,1.0,2169,False
36,28.10720057205002,0,3542.3417130533853,0.017393047882514008,1.0,-1,False
37,21.712221643475896,0,3903.2333647410073,0.011970124309413627,1.0,-1,False
38,9.587590723644205,0,4202.23815311008,0.006245608113628501,1.0,-1,False
39,25.430886617994233,0,4003.1746432071263,0.0339591169161334,1.0,-1,False
40,16.86794384564704,0,4221.219131639269,0.002940216689312365,1.0,-1,False
41,62.932194682263805,1,2242.7880011929406,0.44088398834072806,1.0,317,True
42,-15.102016486888873,0,4248.6547980753585,-0.06795069238000401,1.0,-1,False
43,18.461285305940866,0,4190.008418714735,0.0747305810632598,1.0,-1,False
44,8.82015167467875,0,3599.600834994846,0.0270917018489571,1.0,-1,False
45,-13.661878084236642,0,4655.523588121202,-0.0023437065604957753,1.0,-1,False
46,1.1819093854801233,0,3342.7553391859265,0.05441040001926821,1.0,-1,False
47,71.12008654668715,1,4894.897995178223,-0.01495289258279372,1.0,2504,False
48,97.59534176788682,1,5845.4284435661475,0.04417746872053501,1.0,318,False
49,96.88507713783632,1,4515.743578500366,0.0706569497659104,1.0,3393,False
50,13.40445259175086,0,3560.161204562717,0.036745460585516414,1.0,-1,False
51,9.563208468235901,0,3459.5594922383625,0.016776859771853198,1.0,-1,False
52,15.467249237142713,0,3237.9554888746475,0.060234451648025746,1.0,-1,False
53,91.09432037720299,1,4797.6292134076475,-0.0039122602636088525,1.0,263,False
54,25.049466452461374,0,3809.347707587348,-0.030130342312752165,1.0,-1,False
55,35.04611233076775,0,3862.4687412219578,0.02687899573453857,1.0,-1,False
56,13.306778518164794,0,3742.5443750508625,0.030997863880184013,1.0,-1,False
57,90.29872200409743,1,4461.57304060669,0.014976886395923794,1.0,3122,False
58,26.08708858154846,0,3959.6940160285103,-0.007553163860833997,1.0,-1,False
59,13.706693230464879,0,3778.8190367126463,-0.0065484092696392006,1.0,-1,False
60,0.7038986945136073,0,4487.940653016833,-0.10811824535420682,1.0,-1,False
61,3.2338701908779113,0,3692.3673538038465,-0.019449258382212266,1.0,-1,False
62,52.44887215701,1,3165.4779100454048,0.007677054358080535,1.0,1173,False
63,27.7385087729776,0,4456.950283643934,-0.00231918094964284,1.0,-1,False
64,76.15250079109369,1,3472.5020052944133,0.10275808843423469,1.0,1233,True
65,17.42420483433434,0,4006.1933756340873,-0.027520930933921287,1.0,-1,False
66,11.546860165966002,0,4149.054692107306,-0.06115186905766475,1.0,-1,False
67,7.187995865692869,0,3299.552612847222,0.10026976137651622,1.0,-1,False
68,4.034571568472037,0,3898.729849243164,0.07494711005753035,1.0,-1,False
69,-6.081203906687288,0,4310.4186205715605,0.029392703423056648,1.0,-1,False
70,33.61936128111386,0,3782.8770557488338,0.0159975902472959,1.0,-1,False
71,78.89132587692785,1,4841.073078150111,-0.029624728250235627,1.0,1337,False
72,11.423950163391527,0,4010.8662472195097,-0.00371809044213377,1.0,-1,False
73,10.943533302019318,0,3392.464875623915,0.08480172541149336,1.0,-1,False
74,62.22159576022224,1,4714.436937991303,0.11981685979407618,1.0,316,False
75,38.86271238256552,0,3403.275190785726,0.028039834288453372,1.0,-1,False
76,0.25077076780916735,0,3500.3556500583227,0.08431316192425987,1.0,-1,False
77,84.62143608195923,1,5147.692432509172,0.09177753975981848,1.0,263,False
78,68.75086239029397,1,3563.029340813474,0.03290616009003798,1.0,325,False
79,15.272603923446056,0,4000.237814280192,-0.012395488492911682,1.0,-1,False
80,26.686925239103545,0,4034.708252088759,0.06868425264644126,1.0,-1,False
81,2.6623691413468267,0,3193.175302547879,0.06981938034160218,1.0,-1,False
82,14.517417225580145,0,3443.562623647054,0.020964724967464765,1.0,-1,False
83,73.44920559234833,1,3911.8337051052517,0.09570768199979313,1.0,1123,False
84,2.120235725384229,0,4519.909141981337,-0.018879388425961628,1.0,-1,False
85,112.13944887053074,1,4663.76803753249,0.1743633220140139,1.0,1392,False
86,37.71381107087008,0,3403.133237338596,0.03481806902454183,1.0,-1,False
87,20.35530877464723,0,3802.983071000841,0.07183227657579765,1.0,-1,False
88,28.400934938400873,0,4237.07299917433,0.06527941710606683,1.0,-1,False
89,-1.1718542917668997,0,3078.82832095676,0.05076638993653534,1.0,-1,False
90,91.1742177405404,1,3615.5873505181153,0.1810885219371875,1.0,2181,True
91,40.71302607012651,0,4050.6179409450956,0.1077959264918334,1.0,-1,False
92,8.887961595900762,0,3198.2197378200954,0.04753607559372742,1.0,-1,False
93,101.15039714742343,1,4068.4823923309327,0.028374058643518947,1.0,2542,False
94,43.13370511197132,0,3188.295399403042,0.048961269678612654,1.0,-1,False
95,19.102977901154084,0,3304.448220147027,0.04445765474301879,1.0,-1,False
96,-4.077221778013466,0,3439.4880310058593,0.04177482751887712,1.0,-1,False
97,70.49134877339019,1,1580.0971054803758,0.7903650051508194,1.0,265,True
98,52.34304318928954,0,3165.8220990922714,0.09466797675213053,1.0,-1,False
99,21.66296634481134,0,3375.6998212178546,0.07674700823764498,1.0,-1,False
100,0.5496891706907288,0,2963.052755533854,0.046369469399732126,1.0,-1,False
101,-8.989184649099196,0,3764.965331692166,-0.06681539540322975,1.0,-1,False
102,10.251817393459087,0,3438.1411432732475,0.07374069817532371,1.0,-1,False
103,4.7693290342822605,0,3393.8062396706473,0.05123470856529214,1.0,-1,False
104,11.38436408956568,0,3412.408955908881,0.02426037571370317,1.0,-1,False
105,75.99089623104156,1,5885.071034227416,0.13765607286175033,1.0,1329,False
106,91.98579519289264,1,3518.5567609934155,0.14101979200374234,1.0,325,False
107,116.25745653238378,1,4092.421375085449,-0.030888202282506973,1.0,3087,False
108,12.929984534988963,0,3487.3000240919323,0.03150986039456459,1.0,-1,False
109,-5.178933196729136,0,3577.5132493760852,0.049405830661699936,1.0,-1,False
110,10.724366220044086,0,2705.8191170332166,0.07535693608892971,1.0,-1,False
111,68.61336628996368,1,4660.886619399997,-0.025880778295599826,1.0,261,False
112,85.34300604110445,1,3996.5939096777543,-0.006160910896584106,1.0,315,False
113,49.89701816844212,0,3480.44270433214,0.059939879495630316,1.0,-1,False
114,13.863939850488226,0,3506.8583812798393,0.010255305466893736,1.0,-1,False
115,40.586759235372,0,3365.5715066697862,0.05433429307954308,1.0,-1,False
116,-14.652151893085112,0,2848.0654373168945,0.05054017221226079,1.0,-1,False
117,3.971855791295058,0,2764.450744951036,0.049452216285616385,1.0,-1,False
118,2.961885776184854,0,3605.673045993381,0.07496581249287475,1.0,-1,False
119,17.620913936345012,0,3639.244126637777,0.023419778144125304,1.0,-1,False
120,11.27035553250008,0,3015.220929845174,0.056180700600848975,1.0,-1,False
121,-4.12675965708829,0,3559.688578253852,0.01164888913329681,1.0,-1,False
122,13.531250299780668,0,2802.9191242133247,0.08516536163384444,1.0,-1,False
123,75.20788467210258,1,3690.2794744361263,0.08459011088663497,1.0,262,False
124,31.347572988724117,0,3804.655340101454,-0.04936916462719738,1.0,-1,False
125,-11.639829204264759,0,3772.7187432522246,0.026476794787433592,1.0,-1,False
126,4.203833167216557,0,2422.106749098036,0.02771544669006188,1.0,-1,False
127,-0.049248308275393074,0,3756.281757337782,-0.029061607065442432,1.0,-1,False
128,93.21636828991636,1,4624.926999738891,0.05788036880188654,1.0,326,False
129,29.804870106211304,0,3523.4690853881834,0.057256365602103565,1.0,-1,False
130,15.892936070629492,0,2621.04569732666,0.03402010156240269,1.0,-1,False
131,32.922889129897534,0,3364.419160630968,0.07941198025410105,1.0,-1,False
132,12.469419868820905,0,3814.9535566033255,0.10361150922124378,1.0,-1,False
133,-9.638259829079624,0,3340.6660057576496,0.03455765773046652,1.0,-1,False
134,10.257242680982863,0,2872.31373234219,0.08426810226350628,1.0,-1,False
135,-4.470931821156534,0,2383.1170332505967,0.06410523918298067,1.0,-1,False
136,32.44140309012492,0,2896.1609635331897,0.08774903385587904,1.0,-1,False
137,0.8374537151434976,0,3602.904137708876,0.1164183238688242,1.0,-1,False
138,102.56270760018482,1,5346.782414244048,-0.020721869168811653,1.0,316,False
139,80.2937543498901,1,4931.9009441191765,-0.03699962089909573,1.0,317,False
140,2.2884507610851577,0,4451.925596220229,-0.14172603150545507,1.0,-1,False
141,16.019966511523428,0,3669.7854213460287,0.04418376117834769,1.0,-1,False
142,5.3909041416497745,0,2485.3742642890084,0.055447167185015536,1.0,-1,False
143,20.685902088055535,0,3200.9259622192385,0.11116456445696207,1.0,-1,False
144,-3.2672631450723415,0,2642.7456546020508,0.013131309039813964,1.0,-1,False
145,4.712940499481459,0,3935.7156993103026,0.0072509862354005845,1.0,-1,False
146,-7.520219911393968,0,3092.7770699395073,-0.015196369798941305,1.0,-1,False
147,14.409905647661171,0,3028.295927344428,0.016320951509519042,1.0,-1,False
148,7.705283934705969,0,2902.4893152194554,0.052541129232300185,1.0,-1,False
149,6.785163160623004,0,2910.932627427843,0.05017520663276729,1.0,-1,False
150,2.657579460869255,0,2610.8635020107695,0.046597964292430134,1.0,-1,False
151,-12.251731544301936,0,3587.6687931654187,-0.06957178530805525,1.0,-1,False
152,81.65056399435282,1,7263.3828239499335,-0.13012768406678082,1.0,316,False
153,27.72754596906091,0,4400.988286268446,0.06429825512136125,1.0,-1,False
154,-8.078771301970136,0,3429.1144491916234,0.01970429508779893,1.0,-1,False
155,7.566077203787946,0,3875.9257167900932,0.00491602420468957,1.0,-1,False
156,165.78856229410152,2,4299.265861364746,0.10894812294378643,1.0,317,False
157,173.29434005730576,2,3028.5668381713867,0.1738424726453144,1.0,3175,False
158,121.96723507890297,1,4114.492253094482,0.11337045866018161,1.0,2721,False
159,32.67888378446671,0,3721.168029590183,0.03212384284288823,1.0,-1,False
160,7.650490059397633,0,3571.7646384006075,-0.0007654614688524615,1.0,-1,False
161,68.65691771739193,1,1575.7889413781315,0.7815139092627565,1.0,261,True
162,74.25305214258098,1,3202.831934765171,0.10304735267139407,1.0,324,False
163,48.268956801564,0,3096.2186757829454,0.07369782078056435,1.0,-1,False
164,106.25382651184884,1,3633.9901567596435,0.04534655091448803,1.0,1659,False
165,28.997151467005686,0,3449.5156404622394,0.08303779042684861,1.0,-1,False
166,10.181325083742225,0,3637.0054358757866,0.04944641084014115,1.0,-1,False
167,22.505897718563812,0,2954.6703684828017,0.09005327958959647,1.0,-1,False
168,-5.310207300397178,0,2679.19847559611,0.040599362730873105,1.0,-1,False
169,106.21265970214684,1,4597.701565555706,0.11068354907867596,1.0,263,False
170,21.52006573095974,0,3889.3761606258818,0.020828095819912656,1.0,-1,False
171,18.04904297533249,0,3039.553752424452,0.09723850314129474,1.0,-1,False
172,-6.508309999025299,0,3464.4430661349825,0.09290459474603065,1.0,-1,False
173,12.580888359326426,0,2563.355093061659,0.07809609417251422,1.0,-1,False
174,9.548401393779692,0,3567.4513732062446,-0.006501164336227197,1.0,-1,False
175,17.106840754330026,0,3951.601277330187,0.04098015569784265,1.0,-1,False
176,-12.05159797030556,0,4755.551066148546,-0.08122107604735194,1.0,-1,False
177,10.822694283787898,0,3307.5894708167184,0.05942314468649177,1.0,-1,False
178,-3.404078901672198,0,3395.857307569716,0.0023360298061298737,1.0,-1,False
179,0.5753966700696599,0,3072.386740926107,0.08470140735633726,1.0,-1,False
180,-4.824615984494298,0,3167.7495729573566,0.12990313472246878,1.0,-1,False
181,5.094769547373282,0,3016.6802728271487,0.12715061312436268,1.0,-1,False
182,17.266780973461675,0,3155.137174750434,0.11289468919275451,1.0,-1,False
183,73.55710381768903,1,1508.8328989301408,0.8267963442419256,1.0,268,True
184,13.466985928301137,0,3725.384006415473,-0.012289203824249044,1.0,-1,False
185,26.430438973508036,0,3377.445059950087,0.12220656910124389,1.0,-1,False
186,69.82401264182721,1,5488.989175043145,0.04309322131589667,1.0,2772,True
187,35.78336059939288,0,2579.5270586734346,0.017780837595140233,1.0,-1,False
188,10.785354720974706,0,2376.0545450846353,0.06037257435624876,1.0,-1,False
189,10.912664325816168,0,3176.1634487575957,0.13578629238706424,1.0,-1,False
190,78.00000155229034,1,3704.6856844027734,0.08548276743676458,1.0,315,False
191,104.29937133692133,1,2874.9303231658937,0.059635850651114014,1.0,2697,False
192,34.354693914622125,0,3431.480138176812,-0.0032024434032953447,1.0,-1,False
193,9.113873814268727,0,3385.7682022772897,0.033319185918711205,1.0,-1,False
194,-14.453239122287178,0,4378.538855353461,0.03659718495060386,1.0,-1,False
195,5.832193765907054,0,3790.0864068179662,0.04303383462232887,1.0,-1,False
196,5.3918487765296845,0,4016.1109208170574,-0.0033210730086688676,1.0,-1,False
197,3.1112869377913794,0,4946.524987928602,0.023880770878361848,1.0,-1,False
198,93.30290469501308,1,3672.6837563899626,0.06181307497808451,1.0,325,False
199,63.70913712001942,1,2050.595176813753,0.5228302539361949,1.0,315,True
200,38.689049489874115,0,2924.3850421735974,0.08867710405765036,1.0,-1,False
201,-8.925596212408895,0,2810.9674846394855,0.06300295725207333,1.0,-1,False
202,-6.167380454921114,0,2174.7742872111003,0.08052184311658493,1.0,-1,False
203,1.425540438916356,0,2585.0910465155707,0.04908889981470161,1.0,-1,False
204,8.452973888661315,0,2959.0201768663196,0.06173073481619415,1.0,-1,False
205,66.68445706571102,1,1573.2178388732286,0.6891665224227482,1.0,269,True
206,33.424990253247095,0,2515.1538335376317,0.1063474621378393,1.0,-1,False
207,15.956714436560238,0,3990.151654086643,-0.014787191712449486,1.0,-1,False
208,13.258062690642998,0,3199.2149166700574,0.07642199115058045,1.0,-1,False
209,105.16803267005172,1,4092.5290108520508,0.13465240431506537,1.0,2213,False
210,9.011119470149863,0,4128.835424194336,-0.0903546532136372,1.0,-1,False
211,14.851625592390143,0,2415.2759175194633,0.06476240641042952,1.0,-1,False
212,130.3131910988057,1,3870.547000881958,0.14583045794531646,1.0,3271,False
213,43.55244677409791,0,2760.362854046292,0.04145822439789804,1.0,-1,False
214,25.300632054399117,0,2939.6463409169514,0.053002169338659665,1.0,-1,False
215,-4.298165769789088,0,3100.328094550239,0.01214456638539155,1.0,-1,False
216,20.270095098690206,0,3864.677075712416,0.0735990149545493,1.0,-1,False
217,1.0232179754328388,0,2423.8164324442546,0.09742394832707456,1.0,-1,False
218,115.79194019027123,1,4158.243891219558,0.0807371870388997,1.0,1383,False
219,152.61549716558034,2,4900.936721127319,0.06708077581711114,1.0,327,False
220,24.454921958791342,0,4219.080031517877,0.03932973732802364,1.0,-1,False
221,9.841334021268331,0,2699.734567650689,0.05860225151678605,1.0,-1,False
222,20.318859155768994,0,4052.6402353922526,0.06379081223105054,1.0,-1,False
223,13.848403798753491,0,2241.1384568617077,0.07430115634332146,1.0,-1,False
224,94.96289142443352,1,3781.1582174711066,0.12404508613276545,1.0,260,False
225,11.453512676132227,0,4455.357407887776,-0.1207636892396517,1.0,-1,False
226,-13.789689010190889,0,3254.2334514024524,-0.029263404580633506,1.0,-1,False
227,37.351921876902075,0,3701.069344690111,0.10057145565932539,1.0,-1,False
228,6.116217432214059,0,2505.996370616489,0.07660643313871938,1.0,-1,False
229,7.108035862474035,0,2878.7608952670626,0.049334642789593396,1.0,-1,False
230,92.67301219674864,1,3862.960733114624,0.05627095036173705,1.0,2536,False
231,77.88716698227054,1,2855.9149502418422,0.034079362730320285,1.0,1792,True
232,103.71552215917882,1,3761.9344803217805,0.10378149780091286,1.0,325,False
233,51.890166061840254,0,2921.9750262535945,0.05103223464697496,1.0,-1,False
234,-2.000689117381033,0,3799.556265106201,-0.04049125397797777,1.0,-1,False
235,14.984417336906118,0,3430.355047844781,0.11997809285759609,1.0,-1,False
236,26.40432383046782,0,3089.6439909701876,0.06617028572102653,1.0,-1,False
237,97.10344053225987,1,5013.02802359314,0.061082933095004406,1.0,2581,False
238,12.389492401737062,0,2766.453024817573,0.05816998281855881,1.0,-1,False
